test_type,context,metric,comparison,bonf_p,sig_95,sig_99
within_config,config_iv,f1,all_data vs selected_tabular,1.0,False,False
within_config,config_iv,f1,all_data vs all_tabular,1.0,False,False
within_config,config_iv,f1,all_data vs all_image,4.7985467490054855e-05,True,True
within_config,config_iv,f1,all_features vs all_samples,1.0,False,False
within_config,config_iv,f1,all_features vs edca,1.0,False,False
within_config,config_iv,f1,all_features vs selected_image,4.841055620854811e-05,True,True
within_config,config_iv,f1,all_features vs selected_tabular,1.0,False,False
within_config,config_iv,f1,all_features vs all_tabular,1.0,False,False
within_config,config_iv,f1,all_features vs all_image,4.82583793105742e-05,True,True
within_config,config_iv,f1,all_samples vs edca,1.0,False,False
within_config,config_iv,f1,all_samples vs selected_image,4.841055620854811e-05,True,True
within_config,config_iv,f1,all_samples vs selected_tabular,1.0,False,False
within_config,config_iv,f1,all_samples vs all_tabular,1.0,False,False
within_config,config_iv,f1,all_samples vs all_image,4.841055620854811e-05,True,True
within_config,config_iv,f1,edca vs selected_image,4.8349637437163946e-05,True,True
within_config,config_iv,f1,edca vs selected_tabular,1.0,False,False
within_config,config_iv,f1,edca vs all_tabular,1.0,False,False
within_config,config_iv,f1,edca vs all_image,4.810660207487887e-05,True,True
within_config,config_iv,f1,selected_image vs selected_tabular,4.7924995787520716e-05,True,True
within_config,config_iv,f1,selected_image vs all_tabular,4.8349637437163946e-05,True,True
within_config,config_iv,f1,selected_image vs all_image,0.04334340469375235,True,False
within_config,config_iv,f1,selected_tabular vs all_tabular,1.0,False,False
within_config,config_iv,f1,selected_tabular vs all_image,4.8197620502937904e-05,True,True
within_config,config_iv,f1,all_tabular vs all_image,4.771384577885092e-05,True,True
within_config,config_iv,precision,all_data vs all_features,1.0,False,False
within_config,config_iv,precision,all_data vs all_samples,1.0,False,False
within_config,config_iv,precision,all_data vs edca,1.0,False,False
within_config,config_iv,precision,all_data vs selected_image,0.0001084456110760926,True,True
within_config,config_iv,precision,all_data vs selected_tabular,1.0,False,False
within_config,config_iv,precision,all_data vs all_tabular,1.0,False,False
within_config,config_iv,precision,all_data vs all_image,4.8046002901643336e-05,True,True
within_config,config_iv,precision,all_features vs all_samples,1.0,False,False
within_config,config_iv,precision,all_features vs edca,1.0,False,False
within_config,config_iv,precision,all_features vs selected_image,0.00014572725948075918,True,True
within_config,config_iv,precision,all_features vs selected_tabular,1.0,False,False
within_config,config_iv,precision,all_features vs all_tabular,1.0,False,False
within_config,config_iv,precision,all_features vs all_image,4.841055620854811e-05,True,True
within_config,config_iv,precision,all_samples vs edca,1.0,False,False
within_config,config_iv,precision,all_samples vs selected_image,0.0001946740449896228,True,True
within_config,config_iv,precision,all_samples vs selected_tabular,1.0,False,False
within_config,config_iv,precision,all_samples vs all_tabular,1.0,False,False
within_config,config_iv,precision,all_samples vs all_image,4.8319202064162504e-05,True,True
within_config,config_iv,precision,edca vs selected_image,0.00021486775157785848,True,True
within_config,config_iv,precision,edca vs selected_tabular,1.0,False,False
within_config,config_iv,precision,edca vs all_tabular,1.0,False,False
within_config,config_iv,precision,edca vs all_image,4.828878269082996e-05,True,True
within_config,config_iv,precision,selected_image vs selected_tabular,0.00014581083983158244,True,True
within_config,config_iv,precision,selected_image vs all_tabular,0.00013180636921299017,True,True
within_config,config_iv,precision,selected_image vs all_image,1.0,False,False
within_config,config_iv,precision,selected_tabular vs all_tabular,1.0,False,False
within_config,config_iv,precision,selected_tabular vs all_image,4.8471539057752406e-05,True,True
within_config,config_iv,precision,all_tabular vs all_image,4.7924995787520716e-05,True,True
within_config,config_iv,tp,all_data vs all_features,0.29367708513725715,False,False
within_config,config_iv,tp,all_data vs all_samples,1.0,False,False
within_config,config_iv,tp,all_data vs edca,0.1347685719658329,False,False
within_config,config_iv,tp,all_data vs selected_image,4.841055620854811e-05,True,True
within_config,config_iv,tp,all_data vs selected_tabular,1.0,False,False
within_config,config_iv,tp,all_data vs all_tabular,0.434507099409841,False,False
within_config,config_iv,tp,all_data vs all_image,4.753347900195663e-05,True,True
within_config,config_iv,tp,all_features vs all_samples,1.0,False,False
within_config,config_iv,tp,all_features vs edca,1.0,False,False
within_config,config_iv,tp,all_features vs selected_image,4.841055620854811e-05,True,True
within_config,config_iv,tp,all_features vs selected_tabular,1.0,False,False
within_config,config_iv,tp,all_features vs all_tabular,1.0,False,False
within_config,config_iv,tp,all_features vs all_image,4.8349637437163946e-05,True,True
within_config,config_iv,tp,all_samples vs edca,0.047607942704016824,True,False
within_config,config_iv,tp,all_samples vs selected_image,4.8227991916806055e-05,True,True
within_config,config_iv,tp,all_samples vs selected_tabular,1.0,False,False
within_config,config_iv,tp,all_samples vs all_tabular,1.0,False,False
within_config,config_iv,tp,all_samples vs all_image,4.841055620854811e-05,True,True
within_config,config_iv,tp,edca vs selected_image,4.8349637437163946e-05,True,True
within_config,config_iv,tp,edca vs selected_tabular,1.0,False,False
within_config,config_iv,tp,edca vs all_tabular,1.0,False,False
within_config,config_iv,tp,edca vs all_image,4.838008881642749e-05,True,True
within_config,config_iv,tp,selected_image vs selected_tabular,4.8076294514767234e-05,True,True
within_config,config_iv,tp,selected_image vs all_tabular,4.8167265062382946e-05,True,True
within_config,config_iv,tp,selected_image vs all_image,0.19395862923527743,False,False
within_config,config_iv,tp,selected_tabular vs all_tabular,1.0,False,False
within_config,config_iv,tp,selected_tabular vs all_image,5.295218499719363e-05,True,True
within_config,config_iv,tp,all_tabular vs all_image,4.5297682705725e-05,True,True
within_config,config_iv,fp,all_data vs all_features,0.05765804100507623,False,False
within_config,config_iv,fp,all_data vs all_samples,1.0,False,False
within_config,config_iv,fp,all_data vs edca,0.03335457310718805,True,False
within_config,config_iv,fp,all_data vs selected_image,0.019967965665623973,True,False
within_config,config_iv,fp,all_data vs selected_tabular,1.0,False,False
within_config,config_iv,fp,all_data vs all_tabular,1.0,False,False
within_config,config_iv,fp,all_data vs all_image,0.014097230535626308,True,False
within_config,config_iv,fp,all_features vs all_samples,0.19099217523612733,False,False
within_config,config_iv,fp,all_features vs edca,1.0,False,False
within_config,config_iv,fp,all_features vs selected_image,0.002955723225262782,True,True
within_config,config_iv,fp,all_features vs selected_tabular,0.5619824385645773,False,False
within_config,config_iv,fp,all_features vs all_tabular,1.0,False,False
within_config,config_iv,fp,all_features vs all_image,0.0012973284444639417,True,True
within_config,config_iv,fp,all_samples vs edca,0.006079985827206403,True,True
within_config,config_iv,fp,all_samples vs selected_image,0.018516388148281392,True,False
within_config,config_iv,fp,all_samples vs selected_tabular,1.0,False,False
within_config,config_iv,fp,all_samples vs all_tabular,0.4458847424537755,False,False
within_config,config_iv,fp,all_samples vs all_image,0.0034886007804220947,True,True
within_config,config_iv,fp,edca vs selected_image,0.002827280370150636,True,True
within_config,config_iv,fp,edca vs selected_tabular,1.0,False,False
within_config,config_iv,fp,edca vs all_tabular,1.0,False,False
within_config,config_iv,fp,edca vs all_image,0.0005493590971085108,True,True
within_config,config_iv,fp,selected_image vs selected_tabular,0.008902510605219991,True,True
within_config,config_iv,fp,selected_image vs all_tabular,0.0005479697318179088,True,True
within_config,config_iv,fp,selected_image vs all_image,1.0,False,False
within_config,config_iv,fp,selected_tabular vs all_tabular,0.46900971590877993,False,False
within_config,config_iv,fp,selected_tabular vs all_image,0.003215755180186775,True,True
within_config,config_iv,fp,all_tabular vs all_image,0.0002091957558941175,True,True
